region,mean_p,cmro2,cmrglu,mean_i
DorsAttn_Post_23 R,2.7311667314122497e-12,5544.801,6794.4365,3.8812013038009e-10
DorsAttn_Post_24 L,2.16606620068437e-11,5123.5493,6612.9136,1.43727351603494e-09
DorsAttn_Post_24 R,3.92039574296551e-12,5643.4604,6824.3696,6.82118152460688e-10
DorsAttn_Post_25 L,1.51775978938696e-11,5021.0283,6408.938,1.26662299883741e-09
DorsAttn_Post_25 R,9.67438850258295e-12,5269.4683,6769.155,1.27511774603979e-09
DorsAttn_Post_26 L,1.4925815847190898e-11,5314.421,6517.2124,1.58794001678985e-09
DorsAttn_Post_26 R,5.10999078562517e-12,5468.8623,6839.2124,5.96787442878698e-10
DorsAttn_Post_27 L,1.67278044272898e-11,4880.6357,6118.668,1.6323707107831401e-09
DorsAttn_Post_27 R,4.40582256682052e-12,4938.3047,6422.0146,4.982730601716771e-10
DorsAttn_Post_28 L,5.639884335810329e-12,4950.3896,6251.123,5.49944710934175e-10
DorsAttn_Post_28 R,4.61554757977e-12,4929.958,6472.864,5.13541488136267e-10
DorsAttn_Post_29 R,6.65540969182482e-12,5109.069,6396.5913,7.856996964184881e-10
DorsAttn_Post_3 L,1.0062326217355298e-11,5126.338,6172.5503,1.6344086016534301e-09
DorsAttn_Post_3 R,9.618851532779469e-12,5107.463,6139.0103,1.7529837484319202e-09
DorsAttn_Post_30 R,8.45433860415638e-12,5297.0527,6444.379,1.0467274846469401e-09
DorsAttn_Post_31 R,1.3707392478973598e-11,4996.5293,6302.451,1.7488886862805302e-09
DorsAttn_Post_4 L,8.35335558895992e-12,5025.333,6139.0464,1.307431236609e-09
DorsAttn_Post_4 R,1.6017311845286099e-12,5351.149,6366.801,4.5127450968896005e-10
DorsAttn_Post_5 L,1.0455817887988599e-11,4975.1543,6040.843,1.7667370485462302e-09
DorsAttn_Post_5 R,3.6205255152108397e-12,5354.7783,6224.0513,6.830690991734021e-10
DorsAttn_Post_6 L,3.5301196183461996e-12,5180.674,6265.872,7.39711274875341e-10
DorsAttn_Post_6 R,2.69306167357988e-12,4785.178,5906.406,3.68438328959253e-10
DorsAttn_Post_7 L,4.97876648338401e-12,5351.2983,6394.169,8.46965502063702e-10
DorsAttn_Post_7 R,6.97782044974057e-12,4868.68,6092.3906,8.99203952525935e-10
DorsAttn_Post_8 L,4.6058795388054395e-12,5278.02,6605.4443,6.806048037131e-10
DorsAttn_Post_8 R,1.29325433520487e-12,5338.451,6894.083,3.45808834523197e-10
DorsAttn_Post_9 L,1.45984369386802e-12,5303.089,6917.848,3.71309578772895e-10
DorsAttn_Post_9 R,1.7554276490175398e-12,5576.9624,7032.2256,3.97028673685406e-10
DorsAttn_PrCv_1 L,2.7692300346267598e-12,5478.999,7148.7915,6.75759354055129e-10
DorsAttn_PrCv_1 R,2.05465028610744e-12,5665.1533,7330.8467,5.5173064241145e-10
DorsAttn_PrCv_2 L,9.78439249337651e-12,5183.132,6621.908,1.4774648608401402e-09
DorsAttn_PrCv_2 R,3.4269640962917397e-12,5735.3735,7131.3257,6.86206225410965e-10
DorsAttn_PrCv_3 L,8.15210398805802e-12,5405.0015,7166.7935,1.48305657094854e-09
Limbic_OFC_1 L,3.22554983606799e-12,4938.7803,5905.3096,4.81582739676554e-10
Limbic_OFC_1 R,4.77259270232975e-12,5091.9863,6113.2896,4.5935952523472005e-10
Limbic_OFC_2 L,5.3385472663084496e-11,4614.3896,5896.7705,3.6876345048804303e-09
Limbic_OFC_2 R,3.5009772704109296e-11,5276.6475,6734.7007,1.83907176422407e-09
Limbic_OFC_3 L,4.4372838830588094e-11,4967.8647,6498.8413,3.4692268554896105e-09
Limbic_OFC_3 R,8.81904019647082e-12,5004.7197,6141.934,1.04613292764752e-09
Limbic_OFC_4 L,3.93535016990023e-11,4133.4004,5164.5815,2.2366499607039803e-09
Limbic_OFC_4 R,4.67663233472651e-11,5091.55,6690.177,2.5223532926867203e-09
Limbic_OFC_5 L,9.5209803103177e-11,5102.363,6496.603,4.03088407650455e-09
Limbic_OFC_5 R,2.0579876154654e-11,5263.03,6673.149,1.90824571226428e-09
Limbic_OFC_6 L,3.8384225971406794e-11,5502.236,6872.112,1.80789883282229e-09
Limbic_OFC_6 R,3.9176329116734e-11,4534.0493,5356.558,2.1877428327528903e-09
