5.2556e-11,3.0434e-11,4.6729e-11
6.9167e-11,3.6334e-11,4.9082e-11
5.2242e-11,3.344e-11,3.3063e-11
8.6855e-11,4.4345e-11,7.5729e-11
5.0342e-11,4.2942e-11,4.7447e-11
4.911e-11,2.9641e-11,5.5239e-11
5.5562e-11,4.0252e-11,3.687e-11
5.072e-11,3.7398e-11,2.8357e-11
4.2703e-11,3.3955e-11,4.2203e-11
4.2976e-11,3.464e-11,3.8664e-11
3.987e-11,2.389e-11,4.6035e-11
4.6233e-11,3.595e-11,2.4565e-11
5.4739e-11,4.1982e-11,5.3407e-11
4.123e-11,2.8647e-11,2.8482e-11
4.1329e-11,3.057e-11,2.735e-11
5.1274e-11,5.1082e-11,2.4769e-11
4.8759e-11,3.5156e-11,2.338e-11
5.3614e-11,7.6053e-11,8.4955e-11
3.0637e-11,4.5238e-11,6.6977e-11
5.1719e-11,4.9008e-11,1.9424e-11
4.2645e-11,4.6576e-11,6.3854e-11
6.1591e-11,4.2462e-11,1.5132e-11
4.7436e-11,8.7042e-11,9.2561e-11
3.8019e-11,4.2358e-11,5.6882e-11
6.8945e-11,3.9703e-11,1.5241e-11
2.5604e-11,4.1669e-11,4.9061e-11
7.249e-11,3.5302e-11,1.5936e-11
3.5128e-11,9.1178e-11,8.1269e-11
2.5534e-11,4.0212e-11,4.7141e-11
1.4013e-10,5.1414e-11,9.8912e-11
7.0228e-11,4.1704e-11,4.8468e-11
5.8726e-11,3.3662e-11,4.6643e-11
5.9847e-11,2.9855e-11,3.923e-11
5.8221e-11,3.501e-11,3.3836e-11
4.8761e-11,3.6382e-11,3.7326e-11
4.5121e-11,3.3713e-11,2.3667e-11
3.4612e-11,2.3307e-11,3.9508e-11
4.2044e-11,3.1865e-11,2.6611e-11
3.8955e-11,2.7501e-11,3.5804e-11
5.7148e-11,6.0975e-11,8.8389e-11
3.7091e-11,2.6885e-11,3.658e-11
5.8547e-11,5.6074e-11,7.3507e-11
4.7203e-11,4.6192e-11,6.2802e-11
5.2385e-11,3.5919e-11,2.1989e-11
5.6716e-11,4.8737e-11,6.6771e-11
3.6795e-11,4.9503e-11,5.3508e-11
5.0956e-11,3.0399e-11,2.3053e-11
7.5676e-11,3.4649e-11,1.3992e-11
2.8083e-11,3.524e-11,4.0672e-11
4.5302e-11,4.4336e-11,4.5456e-11
3.2954e-11,4.612e-11,4.6387e-11
8.7818e-11,3.3025e-11,6.5386e-11
6.1696e-11,4.7077e-11,4.915e-11
6.2315e-11,4.7486e-11,4.6311e-11
5.5399e-11,4.2792e-11,5.6002e-11
6.1565e-11,3.6491e-11,6.9076e-11
1.1679e-10,5.071e-11,1.0941e-10
4.4448e-11,3.6256e-11,3.6751e-11
4.2097e-11,3.9157e-11,2.7834e-11
3.9197e-11,2.9146e-11,4.2266e-11
4.0692e-11,3.1539e-11,4.2257e-11
6.3781e-11,5.385e-11,6.3082e-11
4.3162e-11,3.5725e-11,3.6265e-11
4.38e-11,3.8571e-11,2.6839e-11
3.4299e-11,2.5008e-11,4.5384e-11
4.6405e-11,3.6867e-11,2.5524e-11
3.7719e-11,2.7221e-11,3.4691e-11
4.8346e-11,4.0841e-11,2.132e-11
3.6723e-11,2.7642e-11,3.8362e-11
4.3308e-11,3.9324e-11,2.7217e-11
3.8676e-11,4.6729e-11,7.273e-11
4.394e-11,3.1492e-11,2.2141e-11
3.4712e-11,2.6178e-11,2.9043e-11
5.1966e-11,7.0987e-11,7.893e-11
5.6058e-11,6.4454e-11,6.7266e-11
5.3125e-11,3.348e-11,2.1493e-11
5.1065e-11,6.9683e-11,7.1875e-11
5.8048e-11,3.6639e-11,2.0833e-11
7.3567e-11,3.6692e-11,1.9022e-11
2.5014e-11,3.6265e-11,4.2457e-11
3.1069e-11,6.6644e-11,6.3243e-11
8.2413e-11,3.8132e-11,1.8801e-11
2.1354e-11,8.8257e-11,7.952e-11
4.0603e-11,5.5761e-11,4.9989e-11
1.3153e-10,4.6435e-11,1.0049e-10
7.0438e-11,3.7268e-11,6.1928e-11
1.3898e-10,4.9623e-11,9.8491e-11
6.8762e-11,4.5561e-11,5.5415e-11
6.1764e-11,4.1081e-11,4.7581e-11
7.2858e-11,3.7805e-11,7.8613e-11
5.3237e-11,3.4812e-11,5.9215e-11
9.3142e-11,4.0426e-11,7.7674e-11
4.0446e-11,2.707e-11,5.22e-11
6.3726e-11,5.5136e-11,6.2657e-11
3.6588e-11,2.3259e-11,4.1694e-11
4.2846e-11,4.0092e-11,2.3774e-11
2.9875e-11,2.1053e-11,3.3357e-11
6.0785e-11,6.7537e-11,8.8849e-11
2.9226e-11,3.9408e-11,4.8518e-11
4.5071e-11,4.0022e-11,2.4917e-11
4.6576e-11,3.4138e-11,1.9844e-11
3.6862e-11,2.7217e-11,2.4896e-11
6.1864e-11,4.2905e-11,1.224e-11
4.9905e-11,2.8055e-11,2.1018e-11
2.2632e-11,3.4363e-11,4.8816e-11
5.1711e-11,2.8273e-11,1.9141e-11
2.3813e-11,9.7074e-11,8.3675e-11
3.3354e-11,3.72e-11,4.2971e-11
2.8331e-11,3.5678e-11,3.9602e-11
1.0528e-10,4.7897e-11,8.5401e-11
7.2642e-11,5.2759e-11,6.5023e-11
7.5412e-11,3.216e-11,5.8077e-11
8.2316e-11,3.0003e-11,5.9951e-11
6.6596e-11,3.0447e-11,4.3428e-11
6.1626e-11,4.0094e-11,7.4639e-11
