"subject","snr","total_i","mean_i","n_vertices"
"sub-0028",3,7.41567136708621e-07,4.94279235292022e-11,15003
"sub-0028",5,1.1041578358482e-06,7.35958032292339e-11,15003
"sub-0029",1,3.44930380666097e-07,2.29892282502064e-11,15004
"sub-0029",3,7.02808467262687e-07,4.68414067757056e-11,15004
"sub-0029",5,1.05865807180599e-06,7.05583892166084e-11,15004
"sub-0030",1,3.47807883979966e-07,2.31841010518575e-11,15002
"sub-0030",3,6.47763749148201e-07,4.31784928108386e-11,15002
"sub-0030",5,9.41353881494006e-07,6.27485589584059e-11,15002
"sub-0031",1,3.34423419751259e-07,2.22919223937647e-11,15002
"sub-0031",3,7.00407957723494e-07,4.66876388297223e-11,15002
"sub-0031",5,1.05422212834325e-06,7.02721056088021e-11,15002
"sub-0032",1,2.50798461712005e-07,1.67143260054652e-11,15005
"sub-0032",3,5.58876871665894e-07,3.72460427634717e-11,15005
"sub-0032",5,8.77448939585122e-07,5.84771036044733e-11,15005
"sub-0033",1,2.2957756147655e-07,1.53021103430347e-11,15003
"sub-0033",3,5.2356218409323e-07,3.48971661729807e-11,15003
"sub-0033",5,8.34058706706179e-07,5.55927952213677e-11,15003
"sub-0034",1,2.56784092639537e-07,1.71143756757889e-11,15004
"sub-0034",3,5.55757570920072e-07,3.70406272274108e-11,15004
"sub-0034",5,8.62115465837838e-07,5.74590419779950e-11,15004
"sub-0035",1,3.19521815455451e-07,2.12858447442177e-11,15011
"sub-0035",3,6.80608311899364e-07,4.53406376590076e-11,15011
"sub-0035",5,1.0378214947371e-06,6.9137398889954e-11,15011
"sub-0036",1,4.43481394324585e-07,2.95595143854286e-11,15003
"sub-0036",3,9.13259251273018e-07,6.08717757297219e-11,15003
"sub-0036",5,1.32459732570774e-06,8.82888306143929e-11,15003
"sub-0037",1,3.25569402286507e-07,2.16945027178321e-11,15007
"sub-0037",3,6.85651339800514e-07,4.56887678950166e-11,15007
"sub-0037",5,1.02559738026034e-06,6.8341266093179e-11,15007
"sub-0039",1,3.27052264828308e-07,2.17918619954896e-11,15008
"sub-0039",3,6.38590955102215e-07,4.25500369870879e-11,15008
"sub-0039",5,9.44710491854373e-07,6.29471276555419e-11,15008
"sub-0040",1,3.37465387607414e-07,2.24946932147323e-11,15002
"sub-0040",3,6.3430094145119e-07,4.22810919511525e-11,15002
"sub-0040",5,8.64276892336182e-07,5.76107780520052e-11,15002
"sub-0041",1,2.69087016710737e-07,1.79355473379149e-11,15003
"sub-0041",3,5.96373118891201e-07,3.97502578745052e-11,15003
"sub-0041",5,9.27671905686734e-07,6.18324272270035e-11,15003
