"region","mean_p_excl","sub11_p","excess","ratio","is_frontal"
"Cont_Temp_1 L",1.12382778950933e-11,2.01343860627407e-11,8.89610816764738e-12,1.79158997941593,FALSE
"Default_PFCdPFCm_14 R",9.3106010344704e-12,1.81268202017146e-11,8.8162191672442e-12,1.94690118657261,TRUE
"Vis_23 R",3.86440580366422e-12,1.24439491593381e-11,8.57954335567388e-12,3.22014555188246,FALSE
"Vis_17 R",4.22211315593499e-11,5.05022441591457e-11,8.28111259979578e-12,1.19613668070822,FALSE
"SalVentAttn_Med_1 R",1.82974614542126e-12,9.86623191205784e-12,8.03648576663658e-12,5.39213154608743,FALSE
"Vis_7 L",1.32527764671916e-11,2.11351836861726e-11,7.88240721898103e-12,1.59477402629514,FALSE
"Default_Temp_4 L",1.77277252231946e-11,2.54676913842262e-11,7.73996616103162e-12,1.43660233129656,FALSE
"DorsAttn_Post_17 R",4.19898370940383e-12,1.16178797305668e-11,7.41889602116297e-12,2.76683134172395,FALSE
"Default_PFC_27 L",1.06873559671128e-11,1.80911185900684e-11,7.40376262295564e-12,1.69275905525544,TRUE
"DorsAttn_Post_16 R",2.12661126157795e-12,9.53019339715494e-12,7.40358213557699e-12,4.48139891353888,FALSE
"DorsAttn_Post_12 R",2.19726486887561e-12,9.28158585246503e-12,7.08432098358942e-12,4.22415430380709,FALSE
"Default_Temp_2 L",3.48771507560946e-11,4.18413084749782e-11,6.96415771888362e-12,1.19967679606588,FALSE
"Vis_2 R",4.68385934560409e-12,1.16049594384805e-11,6.92110009287641e-12,2.47764900313926,FALSE
"Cont_PFCmp_2 R",5.46653061217805e-12,1.22440014953551e-11,6.77747088317705e-12,2.23981211558178,TRUE
"Vis_28 L",4.64136986281267e-12,1.1303317400657e-11,6.66194753784433e-12,2.43534080126232,FALSE
"SalVentAttn_FrOperIns_8 L",1.2049220063897e-12,7.81891733670027e-12,6.61399533031057e-12,6.48914809028017,TRUE
"DorsAttn_Post_31 R",1.37073924789736e-11,2.0243835678369e-11,6.53644319939537e-12,1.47685533258217,FALSE
"Cont_PFCv_1 R",3.33505722182637e-12,9.86019991728193e-12,6.52514269545556e-12,2.95653095627613,TRUE
"SomMot_21 R",8.3130816443088e-12,1.46988444504613e-11,6.3857628061525e-12,1.76815831714154,FALSE
"Vis_27 R",7.95887725623219e-12,1.41894744503978e-11,6.23059719416561e-12,1.78284876039353,FALSE
"Default_Temp_8 L",2.35696244192471e-12,8.53717405554483e-12,6.18021161362012e-12,3.62210865293778,FALSE
"Default_PFCv_2 R",3.05760543412013e-11,3.66764387733647e-11,6.10038443216338e-12,1.19951509648984,TRUE
"Cont_Par_3 R",9.83495188130341e-12,1.57315589149596e-11,5.89660703365619e-12,1.59955626675366,FALSE
"DorsAttn_Post_24 R",3.92039574296551e-12,9.79735990915773e-12,5.87696416619222e-12,2.49907421380544,FALSE
"Default_PFCv_3 R",1.59412856038189e-11,2.17703315876393e-11,5.82904598382039e-12,1.36565720787437,TRUE
"SalVentAttn_FrOperIns_10 R",7.2591066555611e-12,1.28730068451197e-11,5.6139001895586e-12,1.77335965097825,TRUE
"Vis_16 R",1.14054749073311e-12,6.48665372815362e-12,5.34610623742051e-12,5.68731576796001,FALSE
"Default_Par_6 R",5.6479260219753e-12,1.08648323042501e-11,5.21690628227481e-12,1.92368530713337,FALSE
"SomMot_25 L",8.21657167058132e-12,1.32110178389886e-11,4.99444616840728e-12,1.60785037466288,FALSE
"Cont_Par_2 L",1.57448418754265e-11,2.07091100606144e-11,4.96426818518785e-12,1.31529488987347,FALSE
"Cont_Cing_2 L",7.64980806925612e-13,5.6405531779251e-12,4.87557237099949e-12,7.37345712057008,FALSE
"SomMot_18 L",6.58245763426487e-12,1.14434828657364e-11,4.86102523147153e-12,1.73848181052735,FALSE
"Vis_31 R",4.49906307457679e-12,9.26769479300423e-12,4.76863171842744e-12,2.05991661805631,FALSE
"SomMot_10 L",7.83363252599025e-13,5.55167857033626e-12,4.76831531773724e-12,7.08697855294721,FALSE
"Vis_2 L",4.42667862788099e-12,9.18973596349062e-12,4.76305733560963e-12,2.07598896057419,FALSE
"Vis_19 R",9.26305095030379e-12,1.39608966727478e-11,4.69784572244401e-12,1.50715965481005,FALSE
"Default_Temp_10 L",1.8550142909916e-12,6.30273367876446e-12,4.44771938777286e-12,3.39767392055796,FALSE
"Cont_PFCmp_3 R",3.63709554460282e-12,7.98483159747284e-12,4.34773605287002e-12,2.19538681333839,TRUE
"SalVentAttn_ParOper_6 L",8.78545182007021e-12,1.31310508030369e-11,4.34559898296669e-12,1.49463579926979,FALSE
"Vis_5 L",2.67545774622922e-12,7.00642982999265e-12,4.33097208376343e-12,2.61877797915795,FALSE
"Vis_29 R",1.99042631638331e-12,6.25357825541809e-12,4.26315193903478e-12,3.14182856403401,FALSE
"SomMot_21 L",1.07273044209239e-11,1.49437005288456e-11,4.21639610792168e-12,1.39305271319582,FALSE
"DorsAttn_FEF_2 L",2.97180550986189e-12,7.17217295762135e-12,4.20036744775946e-12,2.41340590217651,TRUE
"Vis_21 L",1.52285637459233e-12,5.70425061077828e-12,4.18139423618595e-12,3.74575745024236,FALSE
"DorsAttn_Post_14 R",7.51288775726739e-12,1.16595495174838e-11,4.14666176021641e-12,1.55193979920773,FALSE
"Default_PFC_22 L",6.76378750556267e-12,1.09014680689588e-11,4.13768056339613e-12,1.6117401766382,TRUE
"SalVentAttn_TempOccPar_7 R",4.99194638437366e-12,9.06755924754129e-12,4.07561286316763e-12,1.81643762760064,FALSE
"SalVentAttn_Med_1 L",1.98179723749679e-12,6.02602223942583e-12,4.04422500192904e-12,3.04068555824476,FALSE
"SalVentAttn_FrOperIns_5 L",1.09733266522871e-12,5.13022861970753e-12,4.03289595447882e-12,4.67518081095151,TRUE
"Default_Temp_7 R",1.18838317292872e-11,1.56694639692629e-11,3.78563223997567e-12,1.31855316754832,FALSE
"Default_PFCdPFCm_15 R",8.63063355446877e-12,1.24006971982873e-11,3.77006364381853e-12,1.43682351011954,TRUE
"DorsAttn_Post_8 R",1.29325433520487e-12,5.03621037877864e-12,3.74295604357377e-12,3.89421495964352,FALSE
"DorsAttn_Post_22 L",1.08208890986337e-11,1.45475359177721e-11,3.72664681913837e-12,1.3443937725606,FALSE
"DorsAttn_PrCv_1 L",2.76923003462676e-12,6.37653271423675e-12,3.60730267960999e-12,2.30263742430346,FALSE
