"subject","snr","total_p","mean_p","n_vertices"
"sub-0029",3,5.46344194399552e-09,3.64132360970109e-13,15004
"sub-0029",5,1.27976300975122e-08,8.52947887064265e-13,15004
"sub-0030",1,1.04184064721701e-09,6.9446783576657e-14,15002
"sub-0030",3,3.89032106786802e-09,2.5932016183629e-13,15002
"sub-0030",5,8.60657371997122e-09,5.73695088652928e-13,15002
"sub-0031",1,9.61829469284138e-10,6.41134161634541e-14,15002
"sub-0031",3,4.67996276746214e-09,3.11955923707648e-13,15002
"sub-0031",5,1.08787893170397e-08,7.25155933678156e-13,15002
"sub-0032",1,5.85742287053089e-10,3.90364736456574e-14,15005
"sub-0032",3,3.27115187647463e-09,2.18004123723734e-13,15005
"sub-0032",5,8.2924597041066e-09,5.52646431463286e-13,15005
"sub-0033",1,4.91288297312921e-10,3.2746003953404e-14,15003
"sub-0033",3,2.83284254012404e-09,1.88818405660471e-13,15003
"sub-0033",5,7.46015345000169e-09,4.97244114510544e-13,15003
"sub-0034",1,6.20967161626832e-10,4.1386774301975e-14,15004
"sub-0034",3,3.23582687986526e-09,2.15664281515946e-13,15004
"sub-0034",5,8.01680184822415e-09,5.34310973621978e-13,15004
"sub-0035",1,1.0907030733817e-09,7.26602540391514e-14,15011
"sub-0035",3,5.31815904807769e-09,3.54284128177849e-13,15011
"sub-0035",5,1.23168952634699e-08,8.20524632833913e-13,15011
"sub-0036",1,2.29040636995462e-09,1.52663225351904e-13,15003
"sub-0036",3,1.08915172345858e-08,7.25955957780833e-13,15003
"sub-0036",5,2.29467828652765e-08,1.52947962842608e-12,15003
"sub-0037",1,9.71219845240499e-10,6.47177880482774e-14,15007
"sub-0037",3,4.62842082708385e-09,3.08417460324106e-13,15007
"sub-0037",5,1.05247454425841e-08,7.01322412379831e-13,15007
"sub-0039",1,9.6973672908734e-10,6.46146541236234e-14,15008
"sub-0039",3,4.10656130926513e-09,2.73624820713295e-13,15008
"sub-0039",5,9.58139478965404e-09,6.38419162423643e-13,15008
"sub-0040",1,8.88851417820872e-10,5.92488613398795e-14,15002
"sub-0040",3,3.97914546195557e-09,2.65240998663883e-13,15002
"sub-0040",5,8.28425686449709e-09,5.52210162944747e-13,15002
"sub-0041",1,6.47178093880739e-10,4.31365789429273e-14,15003
"sub-0041",3,3.64603426193051e-09,2.43020346726022e-13,15003
"sub-0041",5,9.12553592021318e-09,6.08247411865172e-13,15003
