Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,regions,brainstorm_name,name,ast,end,mic,neu,oli,opc,category,prop_neur,cell_area_density,neuron_area_density,area,number_of_neurons
49,49,49,49,58,pericalcarine R,R.pericalcarine,0.079789532,0.064923977,0.101898346,0.034009592,0.047009557,0.16404722,V1,0.069170426,132376.0,9156.504312176,,
50,50,50,50,59,postcentral R,R.postcentral,0.066775738,0.042009096,0.083513742,0.04681008,0.088419267,0.05683284,parietal,0.121786833,80959.0,9859.740212847,,
51,51,51,51,60,posteriorcingulate R,R.PCC,0.094996465,0.036845999,0.199926567,0.089771918,0.113616781,0.031555108,parietal,0.158408125,80959.0,12824.563391875,,
52,52,52,52,61,precentral R,R.precentral,0.050562157,0.052791136,0.08876956,0.077393056,0.104743637,0.046924526,frontal,0.183751146,68428.0,12573.723418488,,
53,53,53,53,62,precuneus R,R.precuneus,0.085125151,0.062758402,0.13951253,0.069226804,0.098389824,0.054093176,parietal,0.135977222,80959.0,11008.579915898,,
54,54,54,54,63,rostralanteriorcingulate R,R.rACC,0.225269338,0.037729132,0.218266735,0.050310876,0.06976588,0.019834233,frontal,0.080992924,68428.0,5542.183803471999,,
55,55,55,55,64,rostralmiddlefrontal R,R.rMidFront,0.087586297,0.046745092,0.160920864,0.069998277,0.111600828,0.015439066,prefrontal,0.142188988,57797.0,8218.096939436,,
56,56,56,56,65,superiorfrontal R,R.SupFront,0.103993758,0.064381668,0.110669896,0.068931132,0.112416203,0.02269533,prefrontal,0.142688566,57797.0,8246.971049102,,
57,57,57,57,66,superiorparietal R,R.SupPar,0.066242735,0.050554869,0.088166411,0.047543465,0.066165346,0.032852713,parietal,0.135248964,80959.0,10949.620876476,,
58,58,58,58,67,superiortemporal R,R.SupTemp,0.136142296,0.078053426,0.122076633,0.04911619,0.088863796,0.029253088,temporal,0.097548481,64258.0,6268.270292098,,
59,59,59,59,68,supramarginal R,R.supramarginal,0.11103828,0.036862329,0.142099071,0.062113989,0.072808763,0.055664001,parietal,0.129246239,80959.0,10463.646263201,,
60,60,60,60,69,transversetemporal R,R.transTemporal,0.099002308,0.065686178,0.11138642,0.040313016,0.139602233,0.036869248,temporal,0.08179415,64258.0,5255.9284907,,
61,61,61,61,70,insula R,R.right insula,0.154086379,0.051414708,0.112528036,0.060884979,0.141191487,0.020323637,insula,0.112660412,60896.0,6860.5684491520005,,
62,62,62,62,71,bankssts L,L.bankssts,0.11296220500000001,0.08704543000000001,0.084312658,0.096162652,0.087200957,0.0618791085,temporal,0.1812296125,64258.0,11645.452440025,,
63,63,63,63,72,bankssts R,R.bankssts,0.147698514,0.09937940849999999,0.12284085,0.060156103,0.08278962449999999,0.024357913000000002,temporal,0.1111241295,64258.0,7140.614313410999,,
64,64,64,64,73,frontalpole L,L.frontalpole,0.065170036,0.0941791845,0.0881218015,0.08252107750000001,0.090068177,0.0611632865,prefrontal,0.171473082,57797.0,9910.629720354002,,
65,65,65,65,74,frontalpole R,R.frontalpole,0.0957900275,0.05556338,0.13579538,0.0694647045,0.1120085155,0.019067198,prefrontal,0.142438777,57797.0,8232.533994269,,
66,66,66,66,75,temporalpole L,L.temporalpole,0.11296220500000001,0.08704543000000001,0.084312658,0.096162652,0.087200957,0.0618791085,temporal,0.1812296125,64258.0,11645.452440025,,
67,67,67,67,76,temporalpole R,R.temporalpole,0.147698514,0.09937940849999999,0.12284085,0.060156103,0.08278962449999999,0.024357913000000002,temporal,0.1111241295,64258.0,7140.614313410999,,
