region,cmro2,cmrglu
SomMot_32 R,5343.737,6627.481
SomMot_33 R,5613.5303,6937.352
SomMot_34 R,5583.237,7004.396
SomMot_35 R,5349.168,6589.363
SomMot_36 R,5397.363,6589.277
SomMot_37 R,5558.451,6951.077
SomMot_38 R,5122.3667,6606.8115
SomMot_39 R,5391.343,6532.122
SomMot_40 R,5411.9736,6915.375
SomMot_41 R,5447.265,6853.2524
SomMot_42 R,5215.826,6485.905
SomMot_43 R,5553.9395,6701.8696
SomMot_44 R,5466.0073,6766.878
SomMot_45 R,5206.6357,6651.08
SomMot_46 R,5697.0747,7039.8516
SomMot_47 R,5417.7773,6772.1074
SomMot_48 R,5202.4077,6687.6914
SomMot_49 R,5295.8906,6662.1343
SomMot_50 R,4958.5576,6219.527
SomMot_51 R,5171.7163,6470.555
SomMot_52 R,5117.1206,6479.8525
SomMot_53 R,5352.082,6719.1562
SomMot_54 R,5011.5244,6480.3335
SomMot_55 R,5217.714,6640.095
SomMot_56 R,5371.229,6829.2944
DorsAttn_Post_1 R,4923.123,5684.0894
DorsAttn_Post_2 R,5068.6772,6089.295
DorsAttn_Post_3 R,5107.463,6139.0103
DorsAttn_Post_4 R,5351.149,6366.801
DorsAttn_Post_5 R,5354.7783,6224.0513
DorsAttn_Post_6 R,4785.178,5906.406
DorsAttn_Post_7 R,4868.68,6092.3906
DorsAttn_Post_8 R,5338.451,6894.083
DorsAttn_Post_9 R,5576.9624,7032.2256
DorsAttn_Post_10 R,5250.1226,6185.711
DorsAttn_Post_11 R,5414.998,6763.9253
DorsAttn_Post_12 R,5489.533,6824.003
DorsAttn_Post_13 R,5515.0894,7180.3257
DorsAttn_Post_14 R,5605.452,7248.4634
DorsAttn_Post_15 R,5201.658,6320.0947
DorsAttn_Post_16 R,5438.208,6823.807
DorsAttn_Post_17 R,5481.6475,7030.136
DorsAttn_Post_18 R,5542.02,7055.701
DorsAttn_Post_19 R,5387.121,6947.547
DorsAttn_Post_20 R,5282.717,6479.744
DorsAttn_Post_21 R,5603.5244,7014.731
DorsAttn_Post_22 R,5447.696,6945.228
DorsAttn_Post_23 R,5544.801,6794.4365
DorsAttn_Post_24 R,5643.4604,6824.3696
DorsAttn_Post_25 R,5269.4683,6769.155
DorsAttn_Post_26 R,5468.8623,6839.2124
DorsAttn_Post_27 R,4938.3047,6422.0146
DorsAttn_Post_28 R,4929.958,6472.864
DorsAttn_Post_29 R,5109.069,6396.5913
