s17_name,s7_name
"SalVentAttnA_FrMed_5 L","SalVentAttn_Med_14 L"
"SalVentAttnA_FrMed_5 R","SomMot_32 R"
"SalVentAttnA_FrMed_6 R","SalVentAttn_Med_12 R"
"SalVentAttnA_FrMed_7 R","SalVentAttn_Med_13 R"
"SalVentAttnA_FrOper_1 L","SalVentAttn_FrOperIns_8 L"
"SalVentAttnA_FrOper_1 R","SalVentAttn_FrOperIns_8 R"
"SalVentAttnA_FrOper_2 L","SomMot_9 L"
"SalVentAttnA_FrOper_2 R","SomMot_10 R"
"SalVentAttnA_FrOper_3 L","SalVentAttn_FrOperIns_10 L"
"SalVentAttnA_FrOper_3 R","SalVentAttn_FrOperIns_10 R"
"SalVentAttnA_FrOper_4 L","SalVentAttn_FrOperIns_11 L"
"SalVentAttnA_FrOper_4 R","SalVentAttn_FrOperIns_11 R"
"SalVentAttnA_FrOper_5 R","SalVentAttn_FrOperIns_12 R"
"SalVentAttnA_Ins_1 L","SalVentAttn_FrOperIns_1 L"
"SalVentAttnA_Ins_1 R","SalVentAttn_FrOperIns_1 R"
"SalVentAttnA_Ins_2 L","SalVentAttn_FrOperIns_2 L"
"SalVentAttnA_Ins_2 R","Limbic_TempPole_11 R"
"SalVentAttnA_Ins_3 L","SalVentAttn_FrOperIns_3 L"
"SalVentAttnA_Ins_3 R","SalVentAttn_FrOperIns_2 R"
"SalVentAttnA_Ins_4 L","SalVentAttn_FrOperIns_5 L"
"SalVentAttnA_Ins_4 R","SalVentAttn_FrOperIns_4 R"
"SalVentAttnA_Ins_5 L","SalVentAttn_FrOperIns_6 L"
"SalVentAttnA_Ins_5 R","SalVentAttn_FrOperIns_5 R"
"SalVentAttnA_Ins_6 L","SalVentAttn_FrOperIns_7 L"
"SalVentAttnA_Ins_6 R","SalVentAttn_FrOperIns_7 R"
"SalVentAttnA_ParMed_1 L","SalVentAttn_Med_4 L"
"SalVentAttnA_ParMed_1 R","SalVentAttn_Med_5 R"
"SalVentAttnA_ParMed_2 L","SalVentAttn_Med_5 L"
"SalVentAttnA_ParMed_2 R","SomMot_25 R"
"SalVentAttnA_ParMed_3 L","SalVentAttn_Med_6 L"
"SalVentAttnA_ParMed_3 R","SalVentAttn_Med_7 R"
"SalVentAttnA_ParMed_4 L","SalVentAttn_Med_8 L"
"SalVentAttnA_ParMed_4 R","SalVentAttn_Med_8 R"
"SalVentAttnA_ParMed_5 L","SalVentAttn_Med_9 L"
"SalVentAttnA_ParMed_5 R","SalVentAttn_Med_9 R"
"SalVentAttnA_ParMed_6 L","SalVentAttn_Med_12 L"
"SalVentAttnA_ParMed_6 R","SalVentAttn_Med_10 R"
"SalVentAttnA_ParOper_1 L","SalVentAttn_ParOper_1 L"
"SalVentAttnA_ParOper_1 R","SalVentAttn_TempOccPar_5 R"
"SalVentAttnA_ParOper_2 L","SalVentAttn_ParOper_2 L"
"SalVentAttnA_ParOper_2 R","SalVentAttn_TempOccPar_6 R"
"SalVentAttnA_ParOper_3 L","SalVentAttn_ParOper_3 L"
"SalVentAttnA_ParOper_3 R","SalVentAttn_TempOccPar_7 R"
"SalVentAttnA_ParOper_4 L","SalVentAttn_ParOper_4 L"
"SalVentAttnA_ParOper_4 R","SalVentAttn_TempOccPar_9 R"
"SalVentAttnA_ParOper_5 L","SalVentAttn_ParOper_5 L"
